scientific_name,taxon_level,taxon_rank,taxon_rank_source,source_species_count,path_depth_min,path_depth_max,example_species,example_classification_path
Brachydiplax,higher_taxon,genus,path_depth,2,11,11,Brachydiplax chalybea,Eukaryota|Animalia|Arthropoda|Hexapoda|Insecta|Odonata|Anisoptera|Libelluloidea|Libellulidae|Brachydiplax|Brachydiplax chalybea
Brachythecium,higher_taxon,genus,path_depth,2,11,11,Brachythecium rivulare,Eukaryota|Plantae|Bryobiotina|Bryophyta|Bryopsida|Bryidae|Hypnanae|Hypnales|Brachytheciaceae|Brachythecium|Brachythecium rivulare
Brachythemis,higher_taxon,genus,path_depth,2,11,11,Brachythemis contaminata,Eukaryota|Animalia|Arthropoda|Hexapoda|Insecta|Odonata|Anisoptera|Libelluloidea|Libellulidae|Brachythemis|Brachythemis contaminata
Brachytominae,higher_taxon,subfamily,suffix,1,11,11,Catunaregam spinosa,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Gentianales|Rubiaceae|Dialypetalanthoideae|Gardenieae|Brachytominae|Catunaregam|Catunaregam spinosa
Braconidae,higher_taxon,family,suffix,4,11,11,Cotesia glomerata,Eukaryota|Animalia|Arthropoda|Hexapoda|Insecta|Hymenoptera|Apocrita|Terebrantes|Ichneumonoidea|Braconidae|Cotesia|Cotesia glomerata
Bradina,higher_taxon,genus,path_depth,3,11,11,Bradina diagonalis,Eukaryota|Animalia|Arthropoda|Hexapoda|Insecta|Lepidoptera|Pyraloidea|Crambidae|Spilomelinae|Bradina|Bradina diagonalis
Bradinopyga,higher_taxon,genus,path_depth,1,11,11,Bradinopyga geminata,Eukaryota|Animalia|Arthropoda|Hexapoda|Insecta|Odonata|Anisoptera|Libelluloidea|Libellulidae|Bradinopyga|Bradinopyga geminata
Bradybaena,higher_taxon,genus,path_depth,1,11,11,Bradybaena similaris,Eukaryota|Animalia|Mollusca|Gastropoda|Heterobranchia|Euthyneura|Tectipleura|Eupulmonata|Helicoidei|Bradybaena|Bradybaena similaris
Brassaiopsis,higher_taxon,genus,path_depth,1,11,11,Brassaiopsis hainla,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Apiales|Araliaceae|Aralioideae|Hedereae|Brassaiopsis|Brassaiopsis hainla
Brassicinae,higher_taxon,subfamily,suffix,7,11,11,Brassica rapa,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Capparales|Brassicaceae|Brassicoideae|Brassiceae|Brassicinae|Brassica|Brassica rapa
