taxon_id,scientific_name,rank,common_name,iconic_taxon_name,observations_in_region,inat_observations_global,wikipedia_url,photo_url,photo_license_code,photo_attribution
78217,Nicandra physalodes,species,apple-of-Peru,Plantae,3,7112,http://en.wikipedia.org/wiki/Nicandra,https://inaturalist-open-data.s3.amazonaws.com/photos/27864329/medium.jpeg,cc0,"no rights reserved, uploaded by 葉子"
522961,Paris polyphylla,species,multi-leaf paris,Plantae,3,3148,https://en.wikipedia.org/wiki/Paris_polyphylla,https://static.inaturalist.org/photos/59270765/medium.jpg,,"(c) HUANG QIN, all rights reserved, uploaded by HUANG QIN"
320523,Rhododendron arboreum,species,Tree Rhododendron,Plantae,3,2844,http://en.wikipedia.org/wiki/Rhododendron_arboreum,https://static.inaturalist.org/photos/118098740/medium.jpeg,,"(c) Nuwan Chathuranga, all rights reserved, uploaded by Nuwan Chathuranga"
548775,Rhododendron barbatum,species,,Plantae,3,77,,https://inaturalist-open-data.s3.amazonaws.com/photos/8093418/medium.jpeg,cc-by-nc-sa,"(c) Phuentsho, some rights reserved (CC BY-NC-SA), uploaded by Phuentsho"
984447,Spermadictyon suaveolens,species,,Plantae,3,76,,https://inaturalist-open-data.s3.amazonaws.com/photos/64111880/medium.jpeg,cc0,"no rights reserved, uploaded by S.MORE"
406533,Thunbergia coccinea,species,Scarlet clock vine,Plantae,3,446,https://en.wikipedia.org/wiki/Thunbergia_coccinea,https://static.inaturalist.org/photos/34555388/medium.jpg,,"(c) Radha Srinivasan, all rights reserved, uploaded by Radha Srinivasan"
157766,Abelmoschus manihot,species,Aibika,Plantae,2,740,http://en.wikipedia.org/wiki/Abelmoschus_manihot,https://inaturalist-open-data.s3.amazonaws.com/photos/510652403/medium.jpg,cc-by,"(c) chiragmunje, some rights reserved (CC BY), uploaded by chiragmunje"
430683,Arisaema tortuosum,species,whipcord cobra lily,Plantae,2,512,http://en.wikipedia.org/wiki/Arisaema_tortuosum,https://inaturalist-open-data.s3.amazonaws.com/photos/50594048/medium.jpeg,cc0,"no rights reserved, uploaded by S.MORE"
1417065,Azanza lampas,species,,Plantae,2,80,https://en.wikipedia.org/wiki/Azanza_lampas,https://inaturalist-open-data.s3.amazonaws.com/photos/96957238/medium.jpeg,cc-by-nc,"(c) Shiwalee Samant, some rights reserved (CC BY-NC), uploaded by Shiwalee Samant"
159585,Buddleja asiatica,species,Asiatic butterfly-bush,Plantae,2,2372,http://en.wikipedia.org/wiki/Buddleja_asiatica,https://inaturalist-open-data.s3.amazonaws.com/photos/702011/medium.JPG,cc-by-nc-sa,"(c) 106611639464075912591, some rights reserved (CC BY-NC-SA), uploaded by 106611639464075912591"
1425261,Butea buteiformis,species,,Plantae,2,34,,https://inaturalist-open-data.s3.amazonaws.com/photos/166181633/medium.jpeg,cc-by-nc,"(c) Jasmine Star Outdoor Photography, some rights reserved (CC BY-NC), uploaded by Jasmine Star Outdoor Photography"
641910,Calanthe plantaginea,species,,Plantae,2,38,https://en.wikipedia.org/wiki/Calanthe_plantaginea,https://inaturalist-open-data.s3.amazonaws.com/photos/107907895/medium.jpg,cc-by-nc,"(c) Philippe RABAUTE, some rights reserved (CC BY-NC), uploaded by Philippe RABAUTE"
31281,Calotes versicolor,species,Indian Garden Lizard,Reptilia,2,34143,http://en.wikipedia.org/wiki/Oriental_garden_lizard,https://inaturalist-open-data.s3.amazonaws.com/photos/164183277/medium.jpeg,cc-by,"(c) Devika M B, some rights reserved (CC BY), uploaded by Devika M B"
52055,Crocothemis servilia,species,Scarlet Skimmer,Insecta,2,30165,http://en.wikipedia.org/wiki/Scarlet_skimmer,https://inaturalist-open-data.s3.amazonaws.com/photos/162243824/medium.jpg,cc-by-nc,"(c) budak, some rights reserved (CC BY-NC), uploaded by budak"
874213,Gentiana capitata,species,,Plantae,2,35,,https://inaturalist-open-data.s3.amazonaws.com/photos/377162696/medium.jpg,cc0,"no rights reserved, uploaded by Jean-Paul Boerekamps"
48765,Heteropoda venatoria,species,Pantropical Huntsman Spider,Arachnida,2,27841,http://en.wikipedia.org/wiki/Heteropoda_venatoria,https://inaturalist-open-data.s3.amazonaws.com/photos/18282517/medium.jpg,cc-by,"(c) Cheng-Tao Lin, some rights reserved (CC BY), uploaded by Cheng-Tao Lin"
903041,Hydrangea febrifuga,species,Anti-febrile Dichroa (Chinese Quinine),Plantae,2,1351,https://en.wikipedia.org/wiki/Hydrangea_febrifuga,https://inaturalist-open-data.s3.amazonaws.com/photos/134247814/medium.jpg,cc-by-nc,"(c) isf2120038, some rights reserved (CC BY-NC)"
126869,Ipomoea quamoclit,species,Cypress Vine,Plantae,2,8693,http://en.wikipedia.org/wiki/Ipomoea_quamoclit,https://static.inaturalist.org/photos/7354317/medium.jpg,,"(c) Jay Keller, all rights reserved, uploaded by Jay Keller"
773907,Liparis elliptica,species,Elliptic Widelip Orchid,Plantae,2,618,,https://static.inaturalist.org/photos/317012754/medium.jpeg,,"(c) Nuwan Chathuranga, all rights reserved, uploaded by Nuwan Chathuranga"
1061156,Liparis resupinata,species,,Plantae,2,18,,https://inaturalist-open-data.s3.amazonaws.com/photos/64606725/medium.jpg,cc-by-nc,"(c) Phuentsho, some rights reserved (CC BY-NC), uploaded by Phuentsho"
410763,Luculia gratissima,species,,Plantae,2,211,http://en.wikipedia.org/wiki/Luculia_gratissima,https://inaturalist-open-data.s3.amazonaws.com/photos/241368861/medium.jpeg,cc-by,"(c) Eugene Popov, some rights reserved (CC BY), uploaded by Eugene Popov"
78174,Nasturtium officinale,species,watercress,Plantae,2,33386,http://en.wikipedia.org/wiki/Watercress,https://inaturalist-open-data.s3.amazonaws.com/photos/203236672/medium.jpeg,cc-by,"(c) Andrew Tree, some rights reserved (CC BY), uploaded by Andrew Tree"
130339,Neptis hylas,species,Common Sailer,Insecta,2,16860,http://en.wikipedia.org/wiki/Neptis_hylas,https://inaturalist-open-data.s3.amazonaws.com/photos/68981000/medium.jpg,cc-by-nc,"(c) Frank Model, some rights reserved (CC BY-NC), uploaded by Frank Model"
165894,Opuntia monacantha,species,Drooping Pricklypear,Plantae,2,5231,http://en.wikipedia.org/wiki/Opuntia_monacantha,https://inaturalist-open-data.s3.amazonaws.com/photos/164013221/medium.jpg,cc-by-nc,"(c) GMarques, some rights reserved (CC BY-NC), uploaded by GMarques"
107981,Orthetrum triangulare,species,Blue-tailed Forest Hawk,Insecta,2,7332,http://en.wikipedia.org/wiki/Orthetrum_triangulare,https://inaturalist-open-data.s3.amazonaws.com/photos/18444297/medium.jpeg,cc-by-nc,"(c) Laurence Leong Y K, some rights reserved (CC BY-NC), uploaded by Laurence Leong Y K"
