scientific_name,taxon_level,taxon_rank,taxon_rank_source,source_species_count,path_depth_min,path_depth_max,example_species,example_classification_path,Kind,SortScore,MatchType,EditDistance,ScientificName,MatchedName,MatchedCanonical,TaxonId,CurrentName,Synonym,DataSourceId,DataSourceTitle,ClassificationPath,Error
Ochrophyta,higher_taxon,phylum,suffix,15,3,6,Ulnaria ulna,Chromista|Ochrophyta|Bacillariophyceae|Fragilariophycidae|Licmophorales|Ulnariaceae|Ulnaria|Ulnaria ulna,BestMatch,9.41215,Exact,0,Ochrophyta,Ochrophyta,Ochrophyta,5H,Ochrophyta,false,1,Catalogue of Life,Eukaryota|Chromista|Ochrophyta,
Primulaceae,higher_taxon,family,suffix,92,3,8,Primula denticulata,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Ericales|Primulaceae|Primuloideae|Primula|Primula denticulata,BestMatch,9.41215,Exact,0,Primulaceae,Primulaceae Batsch ex Borkh.,Primulaceae,627BN,Primulaceae Batsch ex Borkh.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Ericales|Primulaceae,
Theaceae,higher_taxon,family,suffix,4,3,8,Schima wallichii,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Ericales|Theaceae|Gordonieae|Schima|Schima wallichii,BestMatch,9.41215,Exact,0,Theaceae,Theaceae Mirb. ex Ker Gawl.,Theaceae,H5S,Theaceae Mirb. ex Ker Gawl.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Ericales|Theaceae,
Tracheophyta,higher_taxon,phylum,suffix,3693,3,6,Rhododendron arboreum,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Ericales|Ericaceae|Ericoideae|Rhodoreae|Rhododendron|Rhododendron arboreum,BestMatch,9.41215,Exact,0,Tracheophyta,Tracheophyta,Tracheophyta,TP,Tracheophyta,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta,
Viridiplantae,higher_taxon,higher_taxon,fallback,50,3,3,Opuntia monacantha,Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Caryophyllanae|Caryophyllales|Cactaceae|Opuntia|Opuntia monacantha,BestMatch,9.41145,Exact,0,Viridiplantae,Viridiplantae,Viridiplantae,954898,Viridiplantae,false,3,ITIS,Plantae|Viridiplantae,
Agaricomycetes,higher_taxon,class,suffix,335,4,5,Trametes versicolor,Eukaryota|Fungi|Basidiomycota|Agaricomycetes|Polyporales|Polyporaceae|Trametes|Trametes versicolor,BestMatch,9.41215,Exact,0,Agaricomycetes,Agaricomycetes,Agaricomycetes,7C,Agaricomycetes,false,1,Catalogue of Life,Eukaryota|Fungi|Basidiomycota|Agaricomycetes,
Agaricomycotina,higher_taxon,genus,path_depth,10,4,4,Leucocoprinus atrodiscus,Fungi|Basidiomycota|Agaricomycotina|Agaricomycetes|Agaricomycetidae|Agaricales|Agaricineae|Agaricaceae|Leucocoprineae|Leucocoprinus|Melanotrichae|Leucocoprinus atrodiscus,BestMatch,9.41145,Exact,0,Agaricomycotina,Agaricomycotina,Agaricomycotina,936292,Agaricomycotina,false,3,ITIS,Fungi|Dikarya|Basidiomycota|Agaricomycotina,
Angiospermae,higher_taxon,genus,path_depth,13,4,4,Strobilanthes pentastemonoides,Plantae|Tracheophyta|Angiospermae|Magnoliopsida|Lamiales|Acanthaceae|Acanthoideae|Ruellieae|Strobilanthinae|Strobilanthes|Strobilanthes pentastemonoides,BestMatch,9.41145,Exact,0,Angiospermae,Angiospermae,Angiospermae,54885,Angiospermae,false,172,PaleoBioDB,Angiospermae,
Arthoniomycetes,higher_taxon,class,suffix,1,4,4,Cryptothecia striata,Fungi|Ascomycota|Arthoniomycetes|Arthoniales|Arthoniaceae|Cryptothecia striata,BestMatch,9.41215,Exact,0,Arthoniomycetes,Arthoniomycetes,Arthoniomycetes,84,Arthoniomycetes,false,1,Catalogue of Life,Eukaryota|Fungi|Ascomycota|Arthoniomycetes,
Aves,higher_taxon,genus,path_depth,711,4,9,Pycnonotus cafer,Eukaryota|Animalia|Chordata|Vertebrata|Gnathostomata|Osteichthyes|Tetrapoda|Aves|Passeriformes|Pycnonotidae|Pycnonotus|Pycnonotus cafer,BestMatch,9.41215,Exact,0,Aves,Aves,Aves,V2,Aves,false,1,Catalogue of Life,Eukaryota|Animalia|Chordata|Vertebrata|Gnathostomata|Osteichthyes|Tetrapoda|Aves,
Bacillariophyceae,higher_taxon,tribe,suffix,16,4,7,Ulnaria ulna,Chromista|Ochrophyta|Bacillariophyceae|Fragilariophycidae|Licmophorales|Ulnariaceae|Ulnaria|Ulnaria ulna,BestMatch,9.41215,Exact,0,Bacillariophyceae,Bacillariophyceae,Bacillariophyceae,88,Bacillariophyceae,false,1,Catalogue of Life,Eukaryota|Chromista|Ochrophyta|Bacillariophyceae,
Bryobiotina,higher_taxon,genus,path_depth,70,4,4,Sphagnum cuspidatulum,Eukaryota|Plantae|Bryobiotina|Bryophyta|Sphagnopsida|Sphagnales|Sphagnaceae|Sphagnum|Sphagnum cuspidatulum,BestMatch,9.41215,Exact,0,Bryobiotina,Bryobiotina Trevis.,Bryobiotina,9THX2,Bryobiotina Trevis.,false,1,Catalogue of Life,Eukaryota|Plantae|Bryobiotina,
Bryopsida,higher_taxon,class,suffix,43,4,6,Grimmia laevigata,Eukaryota|Plantae|Bryobiotina|Bryophyta|Bryopsida|Dicranidae|Grimmiales|Grimmiaceae|Grimmia|Grimmia laevigata,BestMatch,9.41215,Exact,0,Bryopsida,Bryopsida Ritgen,Bryopsida,CHTRW,Bryopsida Ritgen,false,1,Catalogue of Life,Eukaryota|Plantae|Bryobiotina|Bryophyta|Bryopsida,
Camellia,higher_taxon,genus,path_depth,3,4,10,Camellia sinensis,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Ericales|Theaceae|Theeae|Camellia|Camellia sinensis,BestMatch,9.41215,Exact,0,Camellia,Camellia L.,Camellia,3GBT,Camellia L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Ericales|Theaceae|Theeae|Camellia,
Charophyceae,higher_taxon,tribe,suffix,2,4,7,Chara vulgaris,Plantae|Viridiplantae|Streptophyta|Charophyta|Charophyta|Charophyceae|Charales|Characeae|Chara|Chara vulgaris,BestMatch,9.41215,Exact,0,Charophyceae,Charophyceae,Charophyceae,92,Charophyceae,false,1,Catalogue of Life,Eukaryota|Plantae|Charophyta|Charophyceae,
Chelicerata,higher_taxon,genus,path_depth,160,4,7,Trichonephila clavata,Eukaryota|Animalia|Arthropoda|Chelicerata|Arachnida|Araneae|Araneidae|Trichonephila|Trichonephila clavata,BestMatch,9.41215,Exact,0,Chelicerata,Chelicerata,Chelicerata,KZWYC,Chelicerata,false,1,Catalogue of Life,Eukaryota|Animalia|Arthropoda|Chelicerata,
Clitellata,higher_taxon,genus,path_depth,6,4,5,Haemadipsa zeylanica,Biota|Animalia|Annelida|Clitellata|Hirudinea|Euhirudinea|Arhynchobdellida|Hirudiniformes|Haemadipsidae|Haemadipsa|Haemadipsa zeylanica,BestMatch,9.41215,Exact,0,Clitellata,Clitellata,Clitellata,9H,Clitellata,false,1,Catalogue of Life,Eukaryota|Animalia|Annelida|Clitellata,
Cnidaria,higher_taxon,genus,path_depth,3,4,4,Astraea lobata,Eukaryota|Animalia|Cnidaria|Anthozoa|Hexacorallia|Scleractinia|Vacatina|Merulinidae|Goniastrea|Goniastrea stelligera,BestMatch,9.41215,Exact,0,Cnidaria,Cnidaria,Cnidaria,CN2,Cnidaria,false,1,Catalogue of Life,Eukaryota|Animalia|Cnidaria,
Coleoptera,higher_taxon,genus,path_depth,660,4,12,Coccinella septempunctata,Animalia|Bilateria|Protostomia|Ecdysozoa|Arthropoda|Hexapoda|Insecta|Pterygota|Neoptera|Holometabola|Coleoptera|Polyphaga|Cucujiformia|Coccinelloidea|Coccinellidae|Coccinellinae|Coccinellini|Coccinella|Coccinella septempunctata,BestMatch,9.41215,Exact,0,Coleoptera,Coleoptera,Coleoptera,C2L,Coleoptera,false,1,Catalogue of Life,Eukaryota|Animalia|Arthropoda|Hexapoda|Insecta|Coleoptera,
Coriaria,higher_taxon,genus,path_depth,1,4,4,Coriaria nepalensis,Cucurbitales|Coriariaceae|Coriaria|Coriaria nepalensis,BestMatch,9.41215,Exact,0,Coriaria,Coriaria L.,Coriaria,62MP5,Coriaria L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Cucurbitales|Coriariaceae|Coriaria,
Cyanobacteriota,higher_taxon,genus,path_depth,8,4,4,Microcystis aeruginosa,Bacteria|Bacillati|Cyanobacteriota|Cyanophyceae|Chroococcales|Microcystaceae|Microcystis|Microcystis aeruginosa,BestMatch,9.41215,Exact,0,Cyanobacteriota,"Cyanobacteriota Oren, Mares & Rippka",Cyanobacteriota,CNPLM,"Cyanobacteriota Oren, Mares & Rippka",false,1,Catalogue of Life,Bacteria|Bacillati|Cyanobacteriota,
Dacrymycetes,higher_taxon,class,suffix,7,4,5,Dacrymyces spathularia,Eukaryota|Fungi|Basidiomycota|Dacrymycetes|Dacrymycetales|Dacrymycetaceae|Dacrymyces|Dacrymyces spathularia,BestMatch,9.41215,Exact,0,Dacrymycetes,Dacrymycetes,Dacrymycetes,622DM,Dacrymycetes,false,1,Catalogue of Life,Eukaryota|Fungi|Basidiomycota|Dacrymycetes,
Entomophthoromycota,higher_taxon,phylum,suffix,2,4,4,Entomophaga grylli,Eukaryota|Fungi|Entomophthoromycota|Entomophthoromycetes|Entomophthorales|Entomophthoraceae|Entomophaga|Entomophaga grylli,BestMatch,9.41215,Exact,0,Entomophthoromycota,Entomophthoromycota,Entomophthoromycota,46,Entomophthoromycota,false,1,Catalogue of Life,Eukaryota|Fungi|Entomophthoromycota,
Euglenida,higher_taxon,genus,path_depth,1,4,4,Phacus circulatus,Protozoa|Euglenozoa|Euglenida|Euglenales|Phacaceae|Phacus|Phacus circulatus,BestMatch,9.41215,Exact,0,Euglenida,"Euglenida Ritter von Stein, 1878",Euglenida,37H,"Euglenida Ritter von Stein, 1878",false,1,Catalogue of Life,Eukaryota|Protozoa|Euglenozoa|Euglenoida|Dipilida|Spirocuta|Euglenophyceae|Euglenophycidae|Euglenida,
Euglenophyceae,higher_taxon,tribe,suffix,4,4,4,Trachelomonas hispida,Protozoa|Euglenophycota|Euglenophyceae|Euglenales|Euglenaceae|Trachelomonas|Trachelomonas hispida,BestMatch,9.41215,Exact,0,Euglenophyceae,"Euglenophyceae Schoenichen in Eyfurth & Schoenichen, 1925",Euglenophyceae,BB,"Euglenophyceae Schoenichen in Eyfurth & Schoenichen, 1925",false,1,Catalogue of Life,Eukaryota|Protozoa|Euglenozoa|Euglenoida|Dipilida|Spirocuta|Euglenophyceae,
