taxon_id,scientific_name,rank,common_name,iconic_taxon_name,observations_in_region,inat_observations_global,wikipedia_url,photo_url,photo_license_code,photo_attribution
320523,Rhododendron arboreum,species,Tree Rhododendron,Plantae,424,2844,http://en.wikipedia.org/wiki/Rhododendron_arboreum,https://static.inaturalist.org/photos/118098740/medium.jpeg,,"(c) Nuwan Chathuranga, all rights reserved, uploaded by Nuwan Chathuranga"
8026,Corvus macrorhynchos,species,Large-billed Crow,Aves,416,27085,http://en.wikipedia.org/wiki/Large-billed_crow,https://inaturalist-open-data.s3.amazonaws.com/photos/102902467/medium.jpeg,cc-by-nc,"(c) Joe Bourget, some rights reserved (CC BY-NC), uploaded by Joe Bourget"
116523,Gavialis gangeticus,species,Gharial,Reptilia,413,1122,http://en.wikipedia.org/wiki/Gharial,https://inaturalist-open-data.s3.amazonaws.com/photos/518604067/medium.jpg,cc-by-nc-sa,"(c) Charles Sharp, some rights reserved (CC BY-NC-SA)"
42166,Axis axis,species,Chital,Mammalia,408,9476,http://en.wikipedia.org/wiki/Chital,https://inaturalist-open-data.s3.amazonaws.com/photos/261197112/medium.jpg,cc-by-nc,"(c) Gabi Rusu, some rights reserved (CC BY-NC), uploaded by Gabi Rusu"
31281,Calotes versicolor,species,Indian Garden Lizard,Reptilia,405,34148,http://en.wikipedia.org/wiki/Oriental_garden_lizard,https://inaturalist-open-data.s3.amazonaws.com/photos/164183277/medium.jpeg,cc-by,"(c) Devika M B, some rights reserved (CC BY), uploaded by Devika M B"
204519,Halcyon smyrnensis,species,White-throated Kingfisher,Aves,402,25220,https://en.wikipedia.org/wiki/White-throated_kingfisher,https://static.inaturalist.org/photos/294107276/medium.jpeg,,"(c) Mohammad Tarik Hasan, all rights reserved, uploaded by Mohammad Tarik Hasan"
75997,Cannabis sativa,species,Cannabis,Plantae,385,16913,http://en.wikipedia.org/wiki/Cannabis_sativa,https://inaturalist-open-data.s3.amazonaws.com/photos/71843/medium.jpg,cc-by-nc-sa,"(c) Dinesh Valke, some rights reserved (CC BY-NC-SA)"
5367,Gyps himalayensis,species,Himalayan Griffon,Aves,382,2538,http://en.wikipedia.org/wiki/Himalayan_vulture,https://inaturalist-open-data.s3.amazonaws.com/photos/26316/medium.jpg,cc-by-nc,"(c) mll, some rights reserved (CC BY-NC)"
204454,Acridotheres tristis,species,Common Myna,Aves,380,66356,http://en.wikipedia.org/wiki/Common_myna,https://inaturalist-open-data.s3.amazonaws.com/photos/347665086/medium.jpg,cc-by-nc,"(c) Ken Butler, some rights reserved (CC BY-NC), uploaded by Ken Butler"
73361,Saxicola ferreus,species,Grey Bushchat,Aves,372,3166,http://en.wikipedia.org/wiki/Grey_bush_chat,https://inaturalist-open-data.s3.amazonaws.com/photos/264108409/medium.jpg,cc-by-nc,"(c) Pål A. Olsvik, some rights reserved (CC BY-NC), uploaded by Pål A. Olsvik"
1204,Pavo cristatus,species,Indian Peafowl,Aves,347,53000,http://en.wikipedia.org/wiki/Indian_peafowl,https://inaturalist-open-data.s3.amazonaws.com/photos/165318600/medium.jpg,cc-by-nc-nd,"(c) Cloudtail the Snow Leopard, some rights reserved (CC BY-NC-ND)"
